disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1405,,,,,4796806.64,1194355.67,3609871.51,2023-11-01T00:00:00.000Z,,752279,bd5b63ee5d3f8710c15d3ba5b15c26ab68086b61,2023-11-01T04:03:22.859Z,6923a897-3acd-482e-87df-46f85c2823e3
1406,,,,,6233212.7,785167.68,5406707.43,2023-11-01T00:00:00.000Z,,1149793,27149aa10b2733e111d2fdc6a02b318f7774252b,2023-11-01T04:03:22.859Z,b01a5f78-abe9-46a5-a143-f4a7f8408df2
1407,,,,,10952618.23,614423.27,10272253,2023-11-01T00:00:00.000Z,,2133460,9def913a61106505cfc664207cd4d88877090916,2023-11-01T04:03:22.859Z,4468e448-8049-43a6-a9fb-43e6fa945989
1408,,,,,7698001.21,386876.08,7231737.88,2023-11-01T00:00:00.000Z,,1252681,354d958acedb90753131e26c509f2b6b79125d5d,2023-11-01T04:03:22.859Z,9cfff013-f004-426d-9375-441b8b719d39
1409,,,,,4284113.3,3010762.41,1240215.47,2023-11-01T00:00:00.000Z,,849287,6992272d65d1942a74ebfa8e6937498aac1bc253,2023-11-01T04:03:22.859Z,6d3658e7-530d-49fc-beba-bc59db72bd2a
1410,,,,,15255670.18,8294263.24,6945591.61,2023-11-01T00:00:00.000Z,,3846550,ade61831e631c4be9cbfff17de88c2ed7d3ef065,2023-11-01T04:03:22.859Z,26e98c39-a043-420a-9462-9ca3a33fdab2
1411,,,,,6678555.87,2655782.18,4010838.23,2023-11-01T00:00:00.000Z,,1225737,65a2dcc1b5a1dcbf7c3bb4b356a305f8012fa520,2023-11-01T04:03:22.859Z,e6e43bdd-efa6-4b1b-ae1b-0973dd928f97
1412,,,,,35299777.93,1386209.24,33708365.51,2023-11-01T00:00:00.000Z,,4988421,af390cfb0a9463abf21ea9b42ed6cf141d9c5e34,2023-11-01T04:03:22.859Z,dbb8ec5a-9039-43ea-989e-1b75be54389b
1413,,,,,4906653.82,415565.69,4321699.99,2023-11-01T00:00:00.000Z,,771719,5bac764efcf897ad1d054a0e12322b45eb78bb81,2023-11-01T04:03:22.859Z,23d84600-bdaf-42f4-b338-df4f43cf30a2
1414,,,,,8191992.39,1466923.96,6665537.25,2023-11-01T00:00:00.000Z,,2027706,6aa3b7462aa0d08d8888d5dcd5896471b4530caa,2023-11-01T04:03:22.859Z,0f26e395-48dd-4e4f-9c97-fe931600f7ef
1416,,,,,15595158.21,3410971.44,12179540.99,2023-11-01T00:00:00.000Z,,2119922,a8d0ed19486247d043994a6ad11928831c740854,2023-11-01T04:03:22.859Z,9b888993-9a55-4fe7-a32d-f4d135aa4317
1417,,,,,1509686.69,125487.68,1336211.76,2023-11-01T00:00:00.000Z,,218629,dc95fb1345e716ec36c37305451327ec6f393c02,2023-11-01T04:03:22.859Z,f0968e5a-cfc2-402c-acb2-ef5f079732ee
1418,,,,,4620806.54,556297.96,4110565.71,2023-11-01T00:00:00.000Z,,888018,8b96c77e964ada4aa69028f1875a3c5158978e3c,2023-11-01T04:03:22.859Z,e328965f-28ef-4ea3-bf15-bf4771e5540a
1419,,,,,26435703.2,3849174.16,22397523.78,2023-11-01T00:00:00.000Z,,5840208,6802cee861ac18a3b9096b2fee0a5442bc89a811,2023-11-01T04:03:22.859Z,a9c3f3a3-efde-45ad-ae93-a2a0ba25896e
1420,,,,,5581544.94,561438.53,4781884.9,2023-11-01T00:00:00.000Z,,1122434,7bb6edf3364218d69b0a474270f95823b703e84c,2023-11-01T04:03:22.859Z,dcd02a29-5d6f-4317-a4fe-f39fbd7f6a7f
